X-time;Y-g
8.525;-0.061
8.55;-0.0104
8.575;-0.0134
8.6;0.0205
8.625;0.0034
8.65;6e-04
8.675;0.0157
8.7;0.07
8.725;0.0755
8.75;0.0449
8.775;0.0447
8.8;0.0549
8.825;0.1151
8.85;0.089
8.875;0.0654
8.9;0.0419
8.925;0.0618
8.95;0.1144
8.975;0.0666
9;0.0255
9.025;0.0445
9.05;0.0574
9.075;0.0072
9.1;0.0125
9.125;8e-04
9.15;-0.0047
9.175;-0.022
9.2;-0.0326
9.225;-0.079
9.25;-0.0611
9.275;-0.0835
9.3;-0.0493
9.325;-0.0982
9.35;-0.0899
9.375;-0.1123
9.4;-0.0672
9.425;-0.0682
9.45;-0.0583
9.475;-0.0916
9.5;-0.0483
9.525;-0.0337
9.55;-0.0169
9.575;-0.0181
9.6;-0.0075
9.625;0.0267
9.65;0.0229
9.675;0.032
9.7;0.03
9.725;0.0791
9.75;0.033
9.775;0.0749
9.8;0.0471
9.825;0.0898
9.85;0.0916
9.875;0.0632
9.9;0.0834
9.925;0.0606
9.95;0.0659
9.975;0.0708
10;0.0614
10.025;0.0451
10.05;0.0339
10.075;0.0244
10.1;5e-04
10.125;0.0069
10.15;0.0169
10.175;-0.0325
10.2;-0.0725
10.225;-0.048
10.25;-0.0457
10.275;-0.097
10.3;-0.0605
10.325;-0.1017
10.35;-0.0883
10.375;-0.0765
10.4;-0.0773
10.425;-0.0983
10.45;-0.0815
10.475;-0.0719
10.5;-0.016
10.525;-0.0261
10.55;-0.0401
10.575;-0.0484
10.6;0.0039
10.625;0.0594
10.65;0.0325
10.675;-0.0134
10.7;0.031
10.725;0.0768
10.75;0.0697
10.775;0.0671
10.8;0.0816
10.825;0.0612
10.85;0.0858
10.875;0.0384
10.9;0.0868
10.925;0.0902
10.95;0.0739
10.975;0.0513
11;0.0533
11.025;0.0411
11.05;0.053
11.075;0.0158
11.1;0.0398
11.125;-0.0077
11.15;-0.0519
11.175;-0.011
11.2;-0.0145
11.225;-0.0466
11.25;-0.0906
11.275;-0.0977
11.3;-0.0736
11.325;-0.0687
11.35;-0.1044
11.375;-0.1038
11.4;-0.0649
11.425;-0.0796
11.45;-0.0531
11.475;-0.0908
11.5;-0.0635
11.525;0.0019
11.55;-0.0182
11.575;-0.0549
11.6;4e-04
11.625;0.0168
11.65;0.0494
11.675;0.0425
11.7;0.0213
11.725;0.0626
11.75;0.0477
11.775;0.0835
11.8;0.0466
11.825;0.0565
11.85;0.1088
11.875;0.0925
11.9;0.0823
11.925;5e-04
11.95;0.1025
11.975;0.0927
12;0.0571
12.025;0.0286
12.05;0.0348
12.075;0.0232
12.1;0.0183
12.125;0.0331
12.15;-0.0418
12.175;-0.0126
12.2;-0.0731
12.225;-0.0312
12.25;-0.0861
12.275;-0.0428
12.3;-0.0945
12.325;-0.1087
12.35;-0.0658
12.375;-0.1016
12.4;-0.0902
12.425;-0.0748
12.45;-0.0411
12.475;-0.0846
12.5;-0.0777
12.525;0.0062
12.55;-0.057
12.575;0.0038
12.6;0.0032
12.625;-0.011
12.65;0.0381
12.675;0.0392
12.7;0.0223
12.725;0.0744
12.75;0.0703
12.775;0.0177
12.8;0.0746
12.825;0.1064
12.85;0.0836
12.875;0.0262
12.9;0.0836
12.925;0.1188
12.95;0.0387
12.975;0.0432
13;0.0738
13.025;0.0623
13.05;0.0406
13.075;0.0083
13.1;0.0249
13.125;0.005
13.15;-0.0115
13.175;-0.0242
13.2;-0.0209
13.225;-0.0771
13.25;-0.0693
13.275;-0.0583
13.3;-0.0867
13.325;-0.0965
13.35;-0.0686
13.375;-0.0941
13.4;-0.1039
13.425;-0.0801
13.45;-0.05
13.475;-0.0697
13.5;-0.0473
13.525;-0.0623
13.55;0.0073
13.575;-0.029
13.6;-0.003
13.625;-0.0104
13.65;0.0703
13.675;0.0092
13.7;0.0389
13.725;0.0426
13.75;0.0532
