X-time;Y-g 
8.475;0.0375
8.5;0.6091
8.525;-0.1707
8.55;-0.2471
8.575;0.1266
8.6;-0.3141
8.625;0.3932
8.65;0.2065
8.675;-0.3481
8.7;-0.01
8.725;0.3591
8.75;-0.3024
8.775;0.19
8.8;-0.024
8.825;0.082
8.85;0.4396
8.875;-1.081
8.9;0.4078
8.925;0.4955
8.95;-0.6638
8.975;-0.2374
9;0.8992
9.025;-0.2109
9.05;-0.6898
9.075;0.7316
9.1;-0.483
9.125;-0.3718
9.15;0.7358
9.175;-0.2104
9.2;-0.4215
9.225;0.037
9.25;0.5096
9.275;-0.1278
9.3;-0.4125
9.325;0.0832
9.35;-0.0795
9.375;0.1886
9.4;0.4962
9.425;-0.4855
9.45;-0.2287
9.475;0.4495
9.5;-0.0193
9.525;-0.2642
9.55;0.1312
9.575;0.2051
9.6;0.4777
9.625;-0.759
9.65;-0.2826
9.675;0.8329
9.7;0.0994
9.725;-0.7147
9.75;0.0547
9.775;0.823
9.8;-0.167
9.825;-0.6604
9.85;-0.0977
9.875;0.7678
9.9;-0.0055
9.925;-0.3802
9.95;-0.1934
9.975;-0.0144
10;0.5725
10.025;-0.3381
10.05;-0.2442
10.075;-0.1217
10.1;0.4176
10.125;-0.261
10.15;0.1331
10.175;-0.3086
10.2;0.1378
10.225;0.4087
10.25;-0.4029
10.275;-0.3241
10.3;0.1067
10.325;0.3901
10.35;-0.0871
10.375;-0.2836
10.4;0.3125
10.425;-0.3131
10.45;0.3942
10.475;0.5484
10.5;-0.7774
10.525;-0.6208
10.55;0.5792
10.575;0.924
10.6;-0.6315
10.625;-0.4903
10.65;0.3872
10.675;0.722
10.7;-0.5411
10.725;-0.441
10.75;0.5517
10.775;0.0222
10.8;-0.2216
10.825;0.1139
10.85;-0.3102
10.875;0.4877
10.9;-0.3314
10.925;0.0415
10.95;0.3237
10.975;-0.5811
11;0.3103
11.025;0.0569
11.05;-0.3045
11.075;-0.0824
11.1;0.323
11.125;-0.4506
11.15;0.3639
11.175;0.2037
11.2;-0.1991
11.225;-0.6533
11.25;0.0599
11.275;0.7771
11.3;0.0763
11.325;-0.8323
11.35;-0.2912
11.375;1.0704
11.4;0.0735
11.425;-0.4559
11.45;-0.0416
11.475;-0.1986
11.5;0.2671
11.525;-0.2289
11.55;0.6199
11.575;0.2628
11.6;-0.894
11.625;0.3314
11.65;0.0314
11.675;0.3844
11.7;-0.36
11.725;-4e-04
11.75;0.1848
11.775;-0.2154
11.8;0.1738
11.825;-0.0166
11.85;0.2579
11.875;-0.2352
11.9;-0.4238
11.925;0.2439
11.95;0.4772
11.975;-0.2032
12;-0.3884
12.025;-0.0292
12.05;0.2541
12.075;-0.1627
12.1;-0.0991
12.125;0.0902
12.15;-0.2178
12.175;0.4753
12.2;-0.1043
12.225;-0.3237
12.25;-0.0373
12.275;-0.0481
12.3;-0.4437
12.325;1.0324
12.35;0.2126
12.375;-1.0805
12.4;0.0276
12.425;0.3985
12.45;0.5708
12.475;-0.3608
12.5;-0.6739
12.525;0.8156
12.55;0.0619
12.575;-0.4951
12.6;0.2284
12.625;0.2168
12.65;-0.0799
12.675;-0.345
12.7;0.692
12.725;-0.3559
12.75;-0.2425
12.775;0.4532
12.8;0.2067
12.825;-0.4816
12.85;-0.4565
12.875;1.0302
12.9;-0.2267
12.925;-0.3011
12.95;-0.3335
12.975;0.2904
13;0.3385
13.025;-0.166
13.05;-0.4905
13.075;-0.0545
13.1;0.3531
13.125;0.2311
13.15;-0.2341
13.175;-0.3535
13.2;0.3565
13.225;-0.1599
13.25;-0.2889
13.275;0.155
13.3;0.2054
13.325;0.0747
13.35;-0.2254
13.375;0.0036
13.4;-0.2527
13.425;0.5464
13.45;-0.2817
13.475;0.32
13.5;0.0443
13.525;-0.4436
13.55;-0.3911
13.575;0.7253
13.6;0.7465
13.625;-0.6034
13.65;-0.5004
13.675;0.0765
13.7;0.0885
13.725;0.5203
13.75;0.0264
13.775;-0.4747
13.8;0.5629
13.825;-0.4516
13.85;-0.2353
13.875;0.4253
13.9;0.0103
13.925;0.1166
13.95;-0.5112
13.975;-0.1932
14;0.9895
14.025;-0.4096
14.05;-0.6468
14.075;0.4088
14.1;0.1404
14.125;-0.4444
14.15;0.3594
14.175;-0.3718
14.2;0.5248
14.225;-0.1068
14.25;-0.435
14.275;-0.076
14.3;0.3428
14.325;-0.3718
14.35;0.6059
14.375;0.1323
14.4;-0.9834
14.425;0.2753
14.45;0.6701
14.475;-0.2361
14.5;-0.1723
14.525;0.1227
14.55;-0.307
14.575;0.2655
14.6;0.1489
14.625;0.4533
14.65;-0.5073
14.675;-0.5436
14.7;0.6564
14.725;0.2933
14.75;-0.2567
14.775;-0.122
14.8;-0.144
14.825;-0.01
14.85;0.6757
14.875;-0.0471
14.9;-0.9817
14.925;0.2
14.95;0.7298
14.975;-0.0439
15;-0.8167
15.025;0.4044
15.05;0.4019
15.075;-0.5419
15.1;-0.3151
15.125;0.6877
15.15;-0.1752
15.175;-0.0826
15.2;-0.5647
15.225;0.2831
15.25;0.5158
15.275;-0.7727
15.3;0.4958
15.325;0.1047
15.35;-0.3093
15.375;0.1618
15.4;-0.2851
15.425;0.3675
15.45;-0.2078
15.475;-0.1365
15.5;0.4913
15.525;-0.0219
15.55;-0.0794
15.575;-0.1516
15.6;0.0429
15.625;-0.1549
15.65;0.8003
15.675;-0.5352
15.7;0.0671
15.725;-0.0934
15.75;-0.1207
15.775;0.4427
15.8;-0.0871
15.825;0.0659
15.85;-0.4656
15.875;0.2777
15.9;0.3069
15.925;-0.359
15.95;-0.2914
15.975;0.7821
16;-0.3361
16.025;-0.7267
16.05;0.4459
16.075;0.4124
16.1;-0.6893
16.125;0.3213
16.15;-0.0536
16.175;-0.0911
16.2;0.3635
16.225;-0.4351
16.25;-0.0852
16.275;0.0864
16.3;0.1637
16.325;-0.5437
16.35;0.8512
16.375;-0.4591
16.4;-0.248
16.425;0.5176
16.45;-0.1307
16.475;-0.2684
16.5;0.3534
16.525;0.1481
16.55;-0.3247
16.575;-0.0182
16.6;0.2342
16.625;0.0626
16.65;0.1743
16.675;-0.1707
16.7;-0.4011
16.725;0.5943
16.75;-0.1008
16.775;-0.1132
16.8;0.0413
16.825;0.1538
16.85;-0.7083
16.875;0.9172
16.9;-0.0826
16.925;-1.1019
16.95;1.1985
16.975;-0.2964
17;-0.1263
17.025;-0.1269
17.05;-0.3371
17.075;0.7691
17.1;-0.3005
17.125;-0.4603
17.15;0.3624
17.175;-0.2319
17.2;0.2113
17.225;-0.1291
17.25;-0.0344
17.275;-0.1243
17.3;0.4191
17.325;-0.1487
17.35;-0.3511
17.375;0.0741
17.4;0.1995
17.425;0.1675
17.45;0.0329
17.475;-0.4699
17.5;0.1969
17.525;0.3681
17.55;-0.0513
17.575;-0.1431
17.6;-0.3564
17.625;0.3853
17.65;0.0826
17.675;-0.121
17.7;0.2636
17.725;-0.1453
17.75;0.2067
17.775;-0.2746
17.8;-0.0225
17.825;0.2244
17.85;0.1992
17.875;-0.7771
17.9;0.6211
17.925;0.6207
17.95;-1.117
17.975;-0.3954
18;0.8701
18.025;0.3406
18.05;-0.9384
18.075;0.0515
18.1;0.5858
18.125;-0.2765
18.15;-0.0098
18.175;-0.3928
18.2;0.3854
18.225;-0.0902
18.25;-0.0824
18.275;-0.1801
18.3;-0.0362
18.325;0.5287
18.35;-0.2019
18.375;-0.4332
18.4;0.6811
18.425;-0.5414
18.45;0.2652
18.475;0.0721
18.5;-0.1304
18.525;0.5374
18.55;-0.446
18.575;-0.3517
18.6;0.3494
18.625;0.4576
18.65;-0.1683
18.675;-0.4823
18.7;0.4263
18.725;0.1044
18.75;-0.0782
18.775;-0.3925
18.8;0.5928
18.825;-0.3326
18.85;-0.007
18.875;-0.0697
18.9;0.4578
18.925;-0.2656
18.95;-0.1354
18.975;-0.0526
19;-0.0131
19.025;0.189
19.05;-0.0282
19.075;-0.3145
19.1;-0.0421
19.125;0.0872
19.15;0.3003
19.175;-0.2106
19.2;-0.4805
19.225;0.4826
19.25;0.303
19.275;-0.0978
19.3;-0.9815
19.325;0.0513
19.35;1.0215
19.375;-0.0369
19.4;-0.6963
19.425;0.3318
19.45;0.1273
19.475;-0.2509
19.5;0.094
19.525;0.0245
19.55;0.4785
19.575;-0.2936
19.6;0.0376
19.625;-0.0496
19.65;-0.3082
19.675;0.429
19.7;0.0465
19.725;0.1873
19.75;-0.276
19.775;-0.146
19.8;0.0789
19.825;0.1516
19.85;0.2172
19.875;-0.3943
19.9;-0.1109
19.925;0.4686
19.95;0.0839
19.975;-0.7223
20;0.2059
20.025;0.5757
20.05;-0.7151
20.075;0.0576
20.1;0.1774
