X-time;Y-g
8.55;-0.0048
8.575;0.0029
8.6;0.022
8.625;-0.0077
8.65;0.0081
8.675;-0.0108
8.7;-0.0477
8.725;-0.0545
8.75;-0.0365
8.775;-0.0242
8.8;-0.0373
8.825;-0.039
8.85;-0.0727
8.875;-0.0508
8.9;-0.0628
8.925;-0.0181
8.95;-0.0344
8.975;-0.033
9;-0.0431
9.025;-0.0294
9.05;-0.01
9.075;-0.0061
9.1;0.0132
9.125;0.0046
9.15;0.0023
9.175;0.0234
9.2;4e-04
9.225;0.0574
9.25;0.0453
9.275;0.0281
9.3;0.0247
9.325;0.0715
9.35;0.0329
9.375;0.0583
9.4;0.0249
9.425;0.0368
9.45;0.0745
9.475;0.0292
9.5;0.0124
9.525;0.0177
9.55;0.0352
9.575;0.0166
9.6;0.0116
9.625;-0.0238
9.65;0.0046
9.675;-0.041
9.7;-0.0165
9.725;0.0023
9.75;-0.0438
9.775;-0.0858
9.8;-0.0377
9.825;-0.0521
9.85;-0.034
9.875;-0.0534
9.9;-0.0373
9.925;-0.0809
9.95;-0.051
9.975;0.0083
10;-0.0289
10.025;-0.0358
10.05;-0.0137
10.075;0.0108
10.1;0.0066
10.125;-0.0174
10.15;0.0012
10.175;0.0518
10.2;0.0423
10.225;0.0253
10.25;0.0129
10.275;0.0069
10.3;0.092
10.325;0.0512
10.35;0.0536
10.375;0.0252
10.4;0.0212
10.425;0.0204
10.45;0.0901
10.475;0.0529
10.5;0.0288
10.525;-0.0232
10.55;0.0223
10.575;0.0088
10.6;0.0358
10.625;-0.0063
10.65;9e-04
10.675;-0.0434
10.7;-0.0399
10.725;-0.0234
10.75;-0.0137
10.775;-0.0692
10.8;-0.055
10.825;-0.0377
10.85;-0.0649
10.875;-0.0456
10.9;-0.0256
10.925;-0.0307
10.95;-0.0742
10.975;-0.0491
11;0.0102
11.025;-0.035
11.05;0.0047
11.075;-0.0191
11.1;-0.0046
11.125;0.0309
11.15;-0.0054
11.175;0.0278
11.2;0.0255
11.225;0.0382
11.25;0.0439
11.275;0.0193
11.3;0.0229
11.325;0.0621
11.35;0.0566
11.375;0.0544
11.4;0.0458
11.425;-0.009
11.45;0.0694
11.475;0.0514
11.5;0.013
11.525;0.0152
11.55;0.022
11.575;0.0193
11.6;-0.0257
11.625;0.0345
11.65;-0.0074
11.675;-0.0148
11.7;-0.0567
11.725;-0.02
11.75;-0.0479
11.775;-0.0215
11.8;-0.0654
11.825;-0.0619
11.85;-0.0377
11.875;-0.0648
11.9;-0.0319
11.925;-0.0204
11.95;-0.0231
11.975;-0.0627
12;-0.0276
12.025;-0.0422
12.05;0.04
12.075;-0.022
12.1;-0.0069
12.125;0.0125
12.15;0.0189
12.175;-0.0134
12.2;0.0374
12.225;0.0188
12.25;0.0623
12.275;0.0206
12.3;0.0453
12.325;0.047
12.35;0.0502
12.375;0.0394
12.4;0.0585
12.425;0.0396
12.45;0.0028
12.475;0.0397
12.5;0.0403
12.525;0.0663
12.55;-0.0078
12.575;-0.0296
12.6;0.0585
12.625;-0.0398
12.65;-0.028
12.675;0.0183
12.7;-0.0048
12.725;-0.0619
12.75;-0.07
12.775;-0.0101
12.8;-0.0363
12.825;-0.0484
12.85;-0.0882
12.875;-0.0177
12.9;-0.0361
12.925;-0.0621
12.95;-0.0145
12.975;-0.0613
13;0.0017
13.025;-0.0417
13.05;0.0062
13.075;0.003
13.1;-0.0296
13.125;0.0285
13.15;0.0123
13.175;0.0132
13.2;0.0487
13.225;0.0117
13.25;0.0289
13.275;0.0481
13.3;0.0362
13.325;0.0324
13.35;0.072
13.375;0.0202
13.4;0.0331
13.425;0.0314
13.45;0.0723
13.475;0.0402
13.5;0.0293
13.525;-0.0021
13.55;0.026
13.575;0.0282
13.6;-0.0147
13.625;0.0104
13.65;-0.0123
13.675;-0.0421
13.7;-0.041
13.725;-0.0234
13.75;-0.0222
13.775;-0.0478
13.8;-0.0838
13.825;-0.024
13.85;-0.0442
13.875;-0.0438
13.9;-0.0364
13.925;-0.0396
13.95;-0.0626
13.975;-0.0274
14;-0.0151
14.025;0.0082
14.05;-0.0132
14.075;-0.0264
14.1;0.0124
14.125;0.0064
14.15;0.0365
14.175;-0.0029
14.2;0.0376
14.225;0.0339
14.25;0.0093
14.275;0.0502
14.3;0.0558
14.325;0.0441
14.35;0.0592
14.375;0.0116
14.4;0.03
14.425;0.0379
14.45;0.0494
14.475;0.0453
14.5;0.0152
14.525;0.0249
14.55;-0.0157
14.575;0.0256
14.6;0.0281
14.625;-0.0139
14.65;-0.0142
14.675;-0.0461
14.7;-0.0434
14.725;0.0273
14.75;-0.0576
14.775;-0.0726
14.8;-0.0389
14.825;-0.0199
14.85;-0.0325
14.875;-0.0725
14.9;-0.049
14.925;-0.0268
14.95;-0.0324
14.975;-0.0325
15;-0.0491
15.025;0.0103
15.05;-0.0271
15.075;0.0069
15.1;6e-04
15.125;0.0092
15.15;0.0438
15.175;8e-04
15.2;0.0337
15.225;0.02
15.25;0.0299
15.275;0.0655
15.3;0.0402
15.325;-1e-04
15.35;0.0514
15.375;0.0586
15.4;0.0243
15.425;0.0426
15.45;0.0328
15.475;0.064
15.5;0.004
15.525;-0.0066
